"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Tucker",BAL,"8","-","0","+0.3","50% (8/16)"
"2",1,"Harrison Butker",KC,"12","-","0","-0.4","37% (6/16)"
"3",1,"Younghoe Koo",ATL,"6","-","0","+3.2","73% (11/15)"
"4",1,"Greg Zuerlein",DAL,"7","-","+2","+2.0","62% (10/16)"
"5",2,"Jason Sanders",MIA,"14","-","0","+3.1","68% (11/16)"
"6",2,"Tyler Bass",BUF,"7","-","-2","+2.1","62% (10/16)"
"7",2,"Ryan Succop",TB,"9","-","+1","+0.9","56% (9/16)"
"8",2,"Matt Prater",ARI,"12","-","+5","-0.4","43% (7/16)"
"9",3,"Robbie Gould",SF,"6","-","+8","-1.1","43% (7/16)"
"10",3,"Rodrigo Blankenship",IND,"14","-","-3","+1.2","50% (8/16)"
"11",3,"Jason Myers",SEA,"9","-","+1","+0.4","62% (10/16)"
"12",3,"Mason Crosby",GB,"13","-","+2","-0.9","25% (4/16)"
"13",3,"Michael Badgley",LAC,"7","-","+9","-0.4","56% (9/16)"
"14",3,"Daniel Carlson",LV,"8","-","-4","+2.1","68% (11/16)"
"15",3,"Matt Gay",LAR,"11","-","-4","+2.1","85% (6/7)"
"16",3,"Brandon McManus",DEN,"11","-","-1","+2.0","60% (9/15)"
"17",4,"Joey Slye",CAR,"13","-","+2","+0.5","56% (9/16)"
"18",4,"Wil Lutz",NO,"6","-","-9","0.0","56% (9/16)"
"19",4,"Jake Elliott",PHI,"14","-","+11","-2.3","12% (2/16)"
"20",4,"Dustin Hopkins",WAS,"9","-","+9","+1.2","68% (11/16)"
"21",4,"Chris Boswell",PIT,"7","-","-1","-0.6","38% (5/13)"
"22",4,"Josh Lambo",JAC,"7","-","+6","+0.5","50% (2/4)"
"23",4,"Ka'imi Fairbairn",HOU,"10","-","+3","+0.5","62% (10/16)"
"24",4,"Graham Gano",NYG,"10","-","-8","+1.2","50% (8/16)"
"25",4,"Cairo Santos",CHI,"10","-","-7","+1.7","56% (9/16)"
"26",5,"Cody Parkey",CLE,"13","-","+1","-0.1","53% (8/15)"
"27",5,"Nick Folk",NE,"14","-","-6","+0.5","50% (8/16)"
"28",5,"Randy Bullock",DET,"9","-","+5","+0.5","53% (7/13)"
"29",5,"Evan McPherson",CIN,"10","-","-6","-","-"
"30",5,"Greg Joseph",MIN,"7","-","-","-","-"
"31",5,"Austin Seibert",CIN,"10","-","0","-0.6","40% (2/5)"
"32",5,"Sam Ficken",TEN,"13","-","-8","-0.9","27% (3/11)"
"33",5,"Tucker McCann",TEN,"13","-","+1","-","-"
"34",5,"Stephen Gostkowski",FA,"-","-","-2","-0.1","37% (6/16)"
"35",6,"Zane Gonzalez",DET,"9","-","-","-1.1","35% (5/14)"
"36",6,"Sam Sloman",PIT,"7","-","-","-2.6","7% (1/13)"
"37",6,"Dan Bailey",FA,"-","-","-","-1.8","25% (4/16)"
"38",6,"Chris Naggar",NYJ,"6","-","-","-","-"
"39",6,"Aldrick Rosas",JAC,"7","-","-","-0.7","42% (3/7)"
"40",6,"Brett Maher",NO,"6","-","-","-","-"
"41",6,"Matt Ammendola",NYJ,"6","-","-","-","-"
"42",6,"Chase McLaughlin",CLE,"13","-","-","-3.3","16% (1/6)"
"43",6,"Riley Patterson",MIN,"7","-","-","-","-"