"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","112.6","1,405.8","10.1","0.8","199.8"
"George Kittle","SF","97.0","1,219.0","6.6","0.7","160.2"
"Darren Waller","LV","100.4","1,148.6","7.1","0.9","155.9"
"Mark Andrews","BAL","69.5","848.3","8.2","0.9","132.3"
"Kyle Pitts","ATL","69.0","832.3","6.4","1.2","119.0"
"T.J. Hockenson","DET","73.8","814.3","5.2","0.8","111.1"
"Dallas Goedert","PHI","63.2","705.6","5.1","0.7","99.8"
"Robert Tonyan","GB","54.6","601.8","6.2","0.1","97.2"
"Tyler Higbee","LAR","58.0","653.8","5.4","0.6","96.3"
"Noah Fant","DEN","62.1","689.9","4.4","0.6","94.2"
"Logan Thomas","WAS","62.9","645.6","5.0","0.6","93.2"
"Mike Gesicki","MIA","55.3","621.8","5.3","0.7","92.5"
"Irv Smith Jr.","MIN","51.8","569.2","5.4","0.7","87.9"
"Rob Gronkowski","TB","42.1","549.8","5.5","0.2","87.8"
"Jared Cook","LAC","45.9","577.3","5.1","0.6","87.3"
"Eric Ebron","PIT","58.0","573.3","4.6","0.7","83.3"
"Evan Engram","NYG","57.9","587.4","3.7","0.7","79.6"
"Jonnu Smith","NE","53.3","558.7","4.1","0.7","79.2"
"Hunter Henry","NE","51.3","555.8","3.9","0.6","77.9"
"Blake Jarwin","DAL","47.9","535.9","4.1","0.2","77.7"
"Austin Hooper","CLE","49.8","499.6","4.5","0.6","75.6"
"Anthony Firkser","TEN","48.7","522.9","3.8","0.1","75.0"
"Adam Trautman","NO","49.6","537.7","3.8","0.7","75.0"
"Gerald Everett","SEA","41.9","431.5","3.9","0.6","65.2"
"Dawson Knox","BUF","35.4","407.3","3.7","0.7","61.9"
"Zach Ertz","PHI","42.0","434.0","3.0","0.1","61.1"
"Cole Kmet","CHI","43.2","431.2","3.1","1.2","59.7"
"Tyler Eifert","JAC","40.8","401.2","3.1","0.0","58.6"
"Chris Herndon IV","NYJ","41.5","420.3","3.2","1.7","58.1"
"Hayden Hurst","ATL","38.5","404.6","2.9","0.1","58.0"
"Jordan Akins","HOU","39.7","422.1","2.5","0.1","57.2"
"C.J. Uzomah","CIN","36.7","358.0","3.2","0.1","55.1"
"Jack Doyle","IND","34.0","350.6","3.2","0.2","54.2"
"Mo Alie-Cox","IND","32.9","358.5","2.7","0.6","50.6"
"Will Dissly","SEA","30.3","317.9","3.0","0.1","49.5"
"Donald Parham Jr.","LAC","28.0","340.4","2.5","0.1","48.8"
"O.J. Howard","TB","27.1","343.1","2.5","0.7","47.8"
"Dan Arnold","CAR","27.7","346.2","2.3","0.7","47.0"
"Tyler Conklin","MIN","29.4","308.5","2.4","0.1","44.9"
"David Njoku","CLE","24.3","260.9","2.6","0.0","41.8"
"Jimmy Graham","CHI","23.8","249.3","2.7","0.1","40.8"
"Dalton Schultz","DAL","26.5","275.2","2.1","0.6","38.9"
"Jacob Hollister","BUF","27.1","244.5","2.1","0.5","36.1"
"Trey Burton","IND","28.0","231.0","2.0","0.0","35.1"
"Maxx Williams","ARI","21.3","235.3","2.0","0.1","35.0"
"Nick Boyle","BAL","23.6","218.9","2.1","0.0","34.7"
"Geoff Swaim","TEN","23.2","216.1","1.8","0.1","32.2"
"Kyle Rudolph","NYG","23.1","212.5","1.8","0.1","31.8"
"Drew Sample","CIN","24.8","232.1","1.4","0.6","30.5"
"James O'Shaughnessy","JAC","24.2","241.4","1.0","0.1","30.2"
"Harrison Bryant","CLE","19.5","207.9","1.9","1.1","29.8"
"Cameron Brate","TB","20.5","192.5","1.6","0.0","28.7"
"Darren Fells","DET","18.0","186.2","1.6","0.0","28.1"
"Foster Moreau","LV","13.9","152.2","2.1","0.1","28.0"
"Albert Okwuegbunam","DEN","16.6","174.2","1.4","0.1","25.6"
"Adam Shaheen","MIA","16.6","164.6","1.9","1.0","25.6"
"Ryan Izzo","HOU","12.4","209.9","1.0","1.0","25.0"
"Pat Freiermuth","PIT","19.8","179.5","1.3","0.5","24.9"
"Hunter Long","MIA","19.1","176.3","1.3","0.5","24.1"
"Ian Thomas","CAR","18.0","159.2","1.3","0.0","23.5"
"Marcedes Lewis","GB","13.0","140.5","1.6","0.0","23.3"
"Kahale Warring","HOU","15.9","163.7","1.0","0.1","22.5"
"Demetrius Harris","CHI","13.0","104.0","2.0","0.0","22.4"
"Jacob Harris","LAR","12.6","156.8","0.9","0.0","21.1"
"Chris Manhertz","JAC","15.3","153.6","1.0","0.0","21.0"
"Pharaoh Brown","HOU","13.4","143.5","1.1","0.0","20.8"
"Noah Gray","KC","14.4","148.2","1.2","0.5","20.7"
"Matt Sokol","LAC","13.0","141.0","1.0","0.0","20.1"
"Ryan Griffin","NYJ","12.7","122.1","1.3","0.0","19.9"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","19.7"
"Darrell Daniels","ARI","12.7","135.2","1.0","0.1","19.3"
"Tyler Kroft","NYJ","10.7","109.6","1.4","0.0","19.2"
"Thaddeus Moss","CIN","13.0","122.0","1.0","0.0","18.2"
"Nick Vannett","NO","11.0","118.6","0.9","0.1","17.2"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","17.2"
"Devin Asiasi","NE","10.4","116.6","1.1","0.5","17.1"
"Ross Dwelley","SF","11.3","118.8","0.9","0.0","17.0"
"Jace Sternberger","GB","10.5","101.5","1.1","0.0","16.9"
"Brycen Hopkins","LAR","12.4","126.5","0.7","0.1","16.7"
"Durham Smythe","MIA","13.1","108.2","1.0","0.0","16.4"
"Derek Carrier","LV","10.0","92.3","1.2","0.0","16.1"
"Stephen Carlson","CLE","8.1","88.5","1.1","0.0","15.5"
"Jordan Thomas","IND","8.3","75.5","1.3","0.0","15.1"
"Brevin Jordan","HOU","10.4","111.2","0.6","0.0","14.8"
"Josiah Deguara","GB","9.3","96.1","0.9","0.5","14.0"
"Blake Bell","KC","10.0","94.8","0.7","0.0","13.8"
"Luke Farrell","JAC","11.5","110.6","0.6","0.5","13.4"
"Colby Parkinson","SEA","7.6","78.6","0.8","0.0","12.3"
"John Bates","WAS","9.5","88.2","0.6","0.5","11.2"
"Dominique Dafney","GB","5.6","60.5","0.8","0.0","10.9"
"Tommy Sweeney","BUF","6.0","75.7","0.5","0.0","10.6"
"J.P. Holtz","CHI","5.9","73.4","0.5","0.0","10.3"
"Johnny Mundt","LAR","6.3","66.9","0.6","0.0","10.0"
"Stephen Anderson","LAC","5.9","73.2","0.4","0.0","10.0"
"Tommy Tremble","CAR","8.6","85.3","0.4","0.5","9.9"
"Tre' McKitty","LAC","7.0","75.3","0.4","0.0","9.8"
"Evan Baylis","KC","6.5","67.5","0.5","0.0","9.8"
"Richard Rodgers","PHI","4.9","64.5","0.5","0.0","9.4"
"Charlie Woerner","SF","5.4","64.2","0.4","0.0","9.0"
"Jeremy Sprinkle","DAL","6.0","62.3","0.5","0.0","9.0"
"Jaeden Graham","ATL","5.3","65.6","0.3","0.0","8.4"
"Ben Ellefson","JAC","5.1","54.7","0.4","0.0","7.6"
"Ricky Seals-Jones","WAS","3.8","47.0","0.3","0.0","6.7"
"Josh Oliver","BAL","4.0","41.6","0.4","0.0","6.5"
"Kylen Granson","IND","5.2","56.1","0.1","0.0","6.3"
"Ross Travis","ARI","3.9","42.6","0.4","0.0","6.3"
"Noah Togiai","IND","3.9","42.9","0.3","0.1","6.1"
"Nick Keizer","KC","4.2","44.5","0.2","0.0","5.8"
"Temarrick Hemingway","WAS","3.4","38.9","0.2","0.0","5.2"
"Mason Schreck","CIN","3.5","36.5","0.3","0.0","5.2"
"Alize Mack","DET","4.0","39.3","0.2","0.0","5.1"
"Jared Pinkney","TEN","3.4","33.6","0.3","0.0","5.1"
"Caleb Wilson","PHI","3.5","36.7","0.2","0.0","5.0"
"Deon Yelder","WAS","2.6","29.3","0.2","0.0","4.2"
"Zach Gentry","PIT","2.7","28.5","0.2","0.0","4.1"
"Garrett Griffin","NO","2.3","25.8","0.2","0.0","3.7"
"Brandon Dillon","MIN","2.2","23.8","0.2","0.0","3.4"
"Jesper Horsted","CHI","2.3","24.3","0.1","0.0","3.3"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","3.1"
"Eric Saubert","DEN","2.3","22.6","0.1","0.0","3.1"
"Kaden Smith","NYG","2.5","22.0","0.1","0.0","2.9"
"Troy Fumagalli","NE","1.9","18.1","0.2","0.0","2.8"
"Tanner Hudson","TB","1.5","15.7","0.1","0.0","2.4"
"Lee Smith","ATL","1.5","14.3","0.1","0.0","2.0"
"Trevon Wesco","NYJ","1.4","14.3","0.1","0.0","1.8"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","1.6"
"Codey McElroy","TB","0.9","8.5","0.1","0.0","1.4"
"Isaac Nauta","GB","0.8","8.4","0.1","0.0","1.3"
"Kevin Rader","PIT","0.9","8.7","0.0","0.0","1.1"
"Sean McKeon","DAL","0.9","9.7","0.0","0.0","1.0"
"Daniel Brown","NYJ","0.9","8.5","0.0","0.0","1.0"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.0"
"MyCole Pruitt","SF","0.9","8.5","0.0","0.0","0.9"
"Jordan Franks","CLE","0.8","8.2","0.0","0.0","0.9"
"Tim Tebow","JAC","0.9","8.4","0.0","0.0","0.8"
"Jake Butt","CHI","0.8","8.4","0.0","0.0","0.8"
"Jason Croom","PHI","0.7","8.4","0.0","0.0","0.8"
"Hakeem Butler","PHI","0.8","8.3","0.0","0.0","0.8"
"Antony Auclair","HOU","0.8","7.9","0.0","0.0","0.8"
"Levine Toilolo","NYG","0.8","7.4","0.0","0.0","0.7"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","0.7"
"Matt LaCosse","NE","0.7","6.8","0.0","0.0","0.7"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","0.7"
""
""